"id","param_name","param_unit","param_intro","param_scope","param_maintainer","param_scope_sc"
"1","EM: Elasticity Modulus","MPa","弹性模量"," material_name,test_org,std_num,test_temp, param_value, alloy_report_info.report_name,param_maintainer,upload_time","陆燕玲","{合金名称,测试单位,参考标准,测试温度,参数值,测试报告,负责人,数据上传时间}"
"2","PR: Poisson's Ratio","","泊松比","material_name,alloy_batch,alloy_shape,test_org,std_num,test_direction,test_time,test_temp, param_value, alloy_report_info.report_name,param_maintainer,upload_time","陆燕玲","{合金名称,批次,型材形状,测试机构,测试标准,测试取样方向,测试日期,测试温度,参数值,数据报告名称,参数负责人,数据上传时间}"
"3","ρ: density-calculated by coefficient of thermal expansion","Kg/m3","根据热膨胀系数反推的密度ρ "," material_name,alloy_batch,alloy_shape,test_org,test_time,test_temp,param_value,alloy_report_info.report_name,param_maintainer,upload_time","叶林凤","{合金名称,批次,型材形状,测试机构,测试日期,测试温度,参数值,数据报告名称,参数负责人,数据上传时间}"
"4","Tc: coefficient of Thermal Conductivity","W/（m?℃）","导热系数"," material_name,alloy_batch,alloy_shape,test_org,std_num,test_time,test_temp,param_value,alloy_report_info.report_name,param_maintainer,upload_time","叶林凤","{合金名称,批次,型材形状,测试机构,测试标准,测试日期,测试温度,参数值,数据报告名称,参数负责人,数据上传时间}"
"5","coefficient of thermal expansion A","10-6（mm/mm/℃）","热膨胀系数A "," material_name,alloy_batch,alloy_shape,test_org,std_num,test_time,test_temp,param_value,alloy_report_info.report_name,param_maintainer,upload_time","叶林凤","{合金名称,批次,型材形状,测试机构,测试标准,测试日期,测试温度,参数值,数据报告名称,参数负责人,数据上传时间}"
"6","coefficient of thermal expansion B","10-6（mm/mm/℃）","热膨胀系数B"," material_name,alloy_batch,alloy_shape,test_org,std_num,test_time,test_temp,param_value,alloy_report_info.report_name,param_maintainer,upload_time","叶林凤","{合金名称,批次,型材形状,测试机构,测试标准,测试日期,测试温度,参数值,数据报告名称,参数负责人,数据上传时间}"
"7","coefficient of thermal expansion C","10-6（mm/mm/℃）","热膨胀系数C"," material_name,alloy_batch,alloy_shape,test_org,std_num,test_time,test_temp,param_value,alloy_report_info.report_name,param_maintainer,upload_time","叶林凤","{合金名称,批次,型材形状,测试机构,测试标准,测试温度,参数值,数据报告名称,参数负责人,数据上传时间}"
"8","Sy :Yield strength","MPa","屈服强度"," material_name,alloy_batch,alloy_shape,test_org,std_num,test_temp,param_value, alloy_report_info.report_name,param_maintainer,upload_time","李肖科","{合金名称,批次,型材形状,测试机构,测试标准,测试温度,参数值,数据报告名称,参数负责人,数据上传时间}"
"9","Su: Tensile strength","Mpa","抗拉强度"," material_name,alloy_batch,alloy_shape,test_org,std_num,test_temp,param_value, alloy_report_info.report_name,param_maintainer,upload_time","李肖科","{合金名称,批次,型材形状,测试机构,测试标准,测试温度,参数值,数据报告名称,参数负责人,数据上传时间}"
"10","Yrf: Yield strength reduction factors","","屈服强度减弱因子"," material_name,alloy_batch,alloy_shape,test_org,std_num,test_time,test_temp, test_duration,test_direction,param_value, alloy_report_info.report_name,param_maintainer,upload_time","韩汾汾","{合金名称,批次,型材形状,测试机构,测试标准,测试日期,测试温度,测试时长,测试取样方向,参数值,数据报告名称,参数负责人,数据上传时间}"
"11","Trf: Tensile strength reduction factors","","抗拉强度减弱因子"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","韩汾汾","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"12","S0：Maximum Allowable Stress","Mpa","最大许用应力"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","李肖科","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"13","Sm: Time independent strength","MPa","与时间无关的最低应力强度","material_name,alloy_batch,alloy_shape,test_direction,test_org,test_temp,param_value,alloy_report_info.report_name,param_maintainer,upload_time","李肖科","{合金名称,批次,型材形状,测试取样方向,测试机构,测试温度,参数值,数据报告名称,参数负责人,数据上传时间}"
"14","St : time-dependent allowable stress","Mpa","与时间相关的许用应力","material_name,alloy_batch,alloy_shape,test_direction,test_org,std_num,test_temp,test_duration,param_value,alloy_report_info.report_name,param_maintainer,upload_time","刘敏","{合金名称,批次,型材形状,测试取样方向,测试机构,测试标准,测试温度,测试时长,参数值,数据报告名称,参数负责人,数据上传时间}"
"15","Smt：allowable stress","Mpa","St 与Sm中的较小应力值","material_name,alloy_batch,alloy_shape,test_direction,test_org,std_num,test_temp,test_duration,param_value,alloy_report_info.report_name,param_maintainer,upload_time","刘敏","{合金名称,批次,型材形状,测试取样方向,测试机构,测试标准,测试温度,测试时长,参数值,数据报告名称,参数负责人,数据上传时间}"
"16","Sr： expected min stress to rupture","Mpa","最小断裂应力","material_name,alloy_batch,alloy_shape,test_direction,test_org,std_num,test_temp,test_duration,param_value,alloy_report_info.report_name,param_maintainer,upload_time","刘敏","{合金名称,批次,型材形状,测试取样方向,测试机构,测试标准,测试温度,测试时长,参数值,数据报告名称,参数负责人,数据上传时间}"
"17","Average Isochronous Stress?Strain Curve","","平均等时应力应变曲线"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","刘敏","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"18","LMC：Larson-Miller Parameter","","LMC参数"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","刘敏","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"19","Design fatigue strain range","","设计疲劳应变范围"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","周伯谋","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"20","Fatigue damage factor","","疲劳损伤系数"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","周伯谋","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"21","Rupture damage factor","","持久损伤系数"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","周伯谋","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"22","Elastic analysis K'","","弹性分析K'因子"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","周伯谋","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"23","Inelastic analysis K'","","非弹性分析K'因子"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","周伯谋","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"24","time to reach 0.2% strain level","h","达到0.2%应变的时间"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","刘敏","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"25","time to reach 0.5% strain level","h","达到0.5%应变的时间"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","刘敏","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"26","time to reach 1% strain level","h","达到1%应变的时间"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","刘敏","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"27","time to reach 2% strain level","h","达到2%应变的时间"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","刘敏","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"28","time to reach 5% strain level","h","达到5%应变的时间"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","刘敏","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"29","rupture time","h","寿命"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","刘敏","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"30","minimum creep rate","%/h","最小蠕变速率"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","刘敏","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"31","elongation at fracture","%","断裂延伸率"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","刘敏","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"32","Cyclic number to rupture","","50%寿命应力范围循环断裂周次","material_name,alloy_batch,alloy_shape,test_org,std_num,test_temp,effect_factor1_value,effect_factor1_name,effect_factor2_value,effect_factor2_name,test_direction,param_value, alloy_report_info.report_name,param_maintainer,upload_time","周伯谋","{合金名称,批次,型材形状,测试机构,测试标准,测试温度,应变比的数值,应变比,波的频率,波形,测试取样方向,参数值,数据报告名称,参数负责人,数据上传时间}"
"33","Stress range at 50% Nf","MPa","50%寿命应力范围"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","周伯谋","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"34","Fracture position","","断裂位置"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","周伯谋","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"35","Total hold time","h","总保持时间"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","周伯谋","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"36","Maximum stress","MPa","最大应力"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","周伯谋","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"37","Creep-fatigue damage","","蠕变-疲劳损伤"," material_name,alloy_batch,alloy_shape,test_org,std_num,test_time,test_temp, test_duration,test_direction,param_value, alloy_report_info.report_name,param_maintainer,upload_time","周伯谋","{合金名称,批次,型材形状,测试机构,测试标准,测试日期,测试温度,测试时长,测试取样方向,参数值,数据报告名称,参数负责人,数据上传时间}"
"38","Impact energy","J","冲击功"," material_name,alloy_batch,alloy_shape,test_org,std_num,test_direction,test_time,test_duration,test_temp,param_value,alloy_report_info.report_name,param_maintainer,upload_time","李肖科","{合金名称,批次,型材形状,测试机构,测试标准,测试取样方向,测试日期,测试时长,测试温度,参数值,数据报告名称,参数负责人,数据上传时间}"
"39","lateral expansion","mm","侧膨胀量"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","李肖科","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"40","Oxidation mass gain","mg/cm2","氧化增重"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","陆燕玲","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
"41","Specific heat capacity","J/(kg?K)","比热"," material_name,test_stress,test_org,std_num,test_time,test_temp, param_name,param_value, alloy_report_info.report_name,param_maintainer,upload_time","叶林凤","{合金名称,测试应力,测试机构,测试标准,测试日期,测试温度,参数名称,参数值,数据报告名称,参数负责人,数据上传时间}"
